Lot Area,Gr Liv Area,Garage Area,SalePrice,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
31770,1656,528,215000,1,0,0,0,0
11622,896,730,105000,1,0,0,0,0
14267,1329,312,172000,1,0,0,0,0
11160,2110,522,244000,1,0,0,0,0
13830,1629,482,189900,1,0,0,0,0
9978,1604,470,195500,1,0,0,0,0
4920,1338,582,213500,0,0,0,0,1
5005,1280,506,191500,0,0,0,0,1
5389,1616,608,236500,0,0,0,0,1
7500,1804,442,189000,1,0,0,0,0
10000,1655,440,175900,1,0,0,0,0
7980,1187,420,185000,1,0,0,0,0
8402,1465,393,180400,1,0,0,0,0
10176,1341,506,171500,1,0,0,0,0
6820,1502,528,212000,0,0,0,0,1
53504,3279,841,538000,1,0,0,0,0
12134,1752,492,164000,1,0,0,0,0
11394,1856,834,394432,1,0,0,0,0
19138,864,400,141000,1,0,0,0,0
13175,2073,500,210000,1,0,0,0,0
11751,1844,546,190000,1,0,0,0,0
10625,1173,528,170000,1,0,0,0,0
7500,1674,663,216000,1,0,0,0,0
11241,1004,480,149000,1,0,0,0,0
12537,1078,500,149900,1,0,0,0,0
8450,1056,304,142000,1,0,0,0,0
8400,882,525,126000,1,0,0,0,0
10500,864,0,115000,1,0,0,0,0
5858,1337,511,184000,0,0,0,0,1
1680,987,264,96000,0,0,0,1,0
1680,1092,320,105500,0,0,0,1,0
1680,1092,264,88000,0,0,0,1,0
4043,1069,440,127500,0,0,0,0,1
2280,1456,440,149900,0,0,0,1,0
2280,836,308,120000,0,0,0,1,0
2280,1456,440,146000,0,0,0,1,0
12858,2334,751,376162,1,0,0,0,0
11478,1704,772,306000,1,0,0,0,0
10159,1940,606,395192,1,0,0,0,0
12883,1544,868,290941,1,0,0,0,0
12182,1541,532,220000,1,0,0,0,0
11520,1698,730,275000,1,0,0,0,0
14122,1822,678,259000,1,0,0,0,0
10171,1535,532,214000,1,0,0,0,0
12919,2364,820,611657,1,0,0,0,0
6371,1358,484,224000,0,0,0,0,1
14300,2696,958,500000,1,0,0,0,0
13650,2250,756,320000,1,0,0,0,0
7658,1752,576,319900,0,0,0,0,1
7132,1370,484,205000,0,0,0,0,1
